""," SL No"," NLEM Version"," Formulation"," Dosage & Strength"," SO Number"," SO Date"," Ceiling Price ( Excluding Taxes) (Rs.)(Per Unit)"
"","1","2011","Acetylsalicylic acid","Tablet 300 mg","1582(E)","25-Mar-2026","₹ 0.28(1 Tablet)"
"","2","2011","Calcium Carbonate","Tablet 250 mg","1582(E)","25-Mar-2026","₹ 2.49(1 Tablet)"
"","3","2011","Condom","CONDOM","1582(E)","25-Mar-2026","₹ 11.65(1 Condom)"
"","4","2011","Dapsone","Tablet 50 mg","1582(E)","25-Mar-2026","₹ 0.30(1 Tablet)"
"","5","2011","Medroxyprogesteroneacetate","Tablet 5 mg","1582(E)","25-Mar-2026","₹ 3.80(1 Tablet)"
"","6","2011","RIFAMPICIN","TABLET 450 mg","1582(E)","25-Mar-2026","₹ 5.66(1 Tablet)"
"","7","2015","Abacavir (A)+Lamivudine (B)","Tablet 60 (A) + 30 mg (B)","1581(E)","25-Mar-2026","₹ 25.61(1 Tablet)"
"","8","2015","Acetylsalicylic acid","Tablet 150 mg","1581(E)","25-Mar-2026","₹ 0.51(1 Tablet)"
"","9","2015","Acetylsalicylic acid","Tablet 75 mg","1581(E)","25-Mar-2026","₹ 0.39(1 Tablet)"
"","10","2015","Acetylsalicylic acid","Tablet 100 mg","1581(E)","25-Mar-2026","₹ 0.21(1 Tablet)"
"","11","2015","Acetylsalicylic acid","Tablet 350 mg","1581(E)","25-Mar-2026","₹ 0.39(1 Tablet)"
"","12","2015","Acetylsalicylic acid","Effervescent/ Dispersible/
Enteric coated Tablet 100 mg","1581(E)","25-Mar-2026","₹ 0.22(1 Tablet)"
"","13","2015","All-trans Retinoic Acid","Capsule 10 mg","1581(E)","25-Mar-2026","₹ 104.29(1 Capsule)"
"","14","2015","Anti-D Immunoglobulin","Injection 300 mcg","1581(E)","25-Mar-2026","₹ 2721.28(Each Pack)"
"","15","2015","Anti-D Immunoglobulin","Injection 150 mcg","1581(E)","25-Mar-2026","₹ 2121.14(Each Pack)"
"","16","2015","Artesunate (A) + Sulphadoxine -Pyrimethamine (B)","Tablet 100 mg(A) + 1 Tablet
(750 mg+ 37.5 mg) (B)","1581(E)","25-Mar-2026","₹ 37.60(Combi Pack)"
"","17","2015","Artesunate (A) + Sulphadoxine -Pyrimethamine (B)","Tablet 150 mg(A) + 2 Tablet
(500 mg+ 25 mg) (B)","1581(E)","25-Mar-2026","₹ 51.05(Combi Pack)"
"","18","2015","Artesunate (A) + Sulphadoxine -Pyrimethamine (B)","Tablet 200 mg(A) + 2 Tablet
(750 mg+ 37.5 mg) (B)","1581(E)","25-Mar-2026","₹ 46.54(Combi Pack)"
"","19","2015","Artesunate (A) + Sulphadoxine -Pyrimethamine (B)","Tablet 25 mg(A) + 1 Tablet
(250 mg+ 12.5 mg) (B)","1581(E)","25-Mar-2026","₹ 25.07(Combi Pack)"
"","20","2015","Bare Metal Stents","DEVICE --","1587(E)","25-Mar-2026","₹ 10762.15(1 Unit)"
"","21","2015","Benzoyl Peroxide","Cream 2.50%","1581(E)","25-Mar-2026","₹ 2.97(1 GM)"
"","22","2015","Benzyl penicillin","Powder For Injection 1000000","1581(E)","25-Mar-2026","₹ 14.92(Each Pack)( Pack)"
"","23","2015","Betamethasone","Lotion 0.10%","1581(E)","25-Mar-2026","₹ 1.05(1 ML)"
