name,manufacturer,approval_status,generic_name,brand_price,generic_price
PAREDRINE,PHARMICS,Approved,HYDROXYAMPHETAMINE HYDROBROMIDE,0,0
SULFAPYRIDINE,LILLY,Approved,SULFAPYRIDINE,0,0
LIQUAEMIN SODIUM,ORGANON USA INC,Approved,HEPARIN SODIUM,0,0
LIQUAEMIN LOCK FLUSH,ORGANON USA INC,Approved,HEPARIN SODIUM,0,0
HEPARIN SODIUM,ORGANON USA INC,Approved,HEPARIN SODIUM,0,0
LIQUAEMIN SODIUM PRESERVATIVE FREE,ORGANON USA INC,Approved,HEPARIN SODIUM,0,0
HISTAMINE PHOSPHATE,LILLY,Approved,HISTAMINE PHOSPHATE,0,0
BUTISOL SODIUM,MEDA PHARMS,Approved,BUTABARBITAL SODIUM,0,0
DOCA,ORGANON USA INC,Approved,DESOXYCORTICOSTERONE ACETATE,0,0
GUANIDINE HYDROCHLORIDE,MERCK SHARP DOHME,Approved,GUANIDINE HYDROCHLORIDE,0,0
MENADIONE,LILLY,Approved,MENADIONE,0,0
PROLOID,PARKE DAVIS,Approved,THYROGLOBULIN,0,0
INULIN AND SODIUM CHLORIDE,ISO TEX,Approved,INULIN,0,0
AMINOPHYLLIN,GD SEARLE LLC,Approved,AMINOPHYLLINE,0,0
BENSULFOID,POYTHRESS,Approved,SULFUR,0,0
ORETON METHYL,SCHERING,Approved,METHYLTESTOSTERONE,0,0
METANDREN,NOVARTIS,Approved,METHYLTESTOSTERONE,0,0
PITRESSIN TANNATE,PARKE DAVIS,Approved,VASOPRESSIN TANNATE,0,0
DRISDOL,US PHARM HOLDINGS,Approved,ERGOCALCIFEROL,0,0
SYNKAYVITE,ROCHE,Approved,MENADIOL SODIUM DIPHOSPHATE,0,0
THEELIN,PARKEDALE,Approved,ESTRONE,0,0
DIETHYLSTILBESTROL,LILLY,Approved,DIETHYLSTILBESTROL,0,0
SULFADIAZINE,LEDERLE,Approved,SULFADIAZINE,0,0
SULFADIAZINE SODIUM,LEDERLE,Approved,SULFADIAZINE SODIUM,0,0
STILBESTROL,BRISTOL MYERS SQUIBB,Approved,DIETHYLSTILBESTROL,0,0
STILBETIN,BRISTOL MYERS SQUIBB,Approved,DIETHYLSTILBESTROL,0,0
SULFADIAZINE,LILLY,Approved,SULFADIAZINE,0,0
SULFADIAZINE,ABBVIE,Approved,SULFADIAZINE,0,0
HEPARIN SODIUM,PHARMACIA AND UPJOHN,Approved,HEPARIN SODIUM,0,0
ALCOHOL 5% AND DEXTROSE 5%,B BRAUN,Approved,ALCOHOL; DEXTROSE,0,0
ALCOHOL 10% AND DEXTROSE 5%,B BRAUN,Approved,ALCOHOL; DEXTROSE,0,0
PREMARIN,WYETH PHARMS INC,Approved,"ESTROGENS, CONJUGATED",0,0
DEMEROL,US PHARM HOLDINGS,Approved,MEPERIDINE HYDROCHLORIDE,0,0
PERCORTEN,NOVARTIS,Approved,DESOXYCORTICOSTERONE ACETATE,0,0
HYCODAN,ENDO PHARMS,Approved,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,0,0
PANHEPRIN,HOSPIRA,Approved,HEPARIN SODIUM,0,0
HEPARIN LOCK FLUSH,HOSPIRA,Approved,HEPARIN SODIUM,0,0
HEPARIN SODIUM PRESERVATIVE FREE,HOSPIRA,Approved,HEPARIN SODIUM,0,0
ESTINYL,SCHERING,Approved,ETHINYL ESTRADIOL,0,0
PANTOPAQUE,ALCON,Approved,IOPHENDYLATE,0,0
DESOXYN,RECORDATI RARE,Approved,METHAMPHETAMINE HYDROCHLORIDE,0,0
LYNORAL,ORGANON USA INC,Approved,ETHINYL ESTRADIOL,0,0
DICUMAROL,LILLY,Approved,DICUMAROL,0,0
HEPARIN SODIUM,LILLY,Approved,HEPARIN SODIUM,0,0
DICUMAROL,ABBVIE,Approved,DICUMAROL,0,0
AMINOHIPPURATE SODIUM,MERCK,Approved,AMINOHIPPURATE SODIUM,0,0
MANNITOL 25%,MERCK,Approved,MANNITOL,0,0
TUBOCURARINE CHLORIDE,BRISTOL MYERS SQUIBB,Approved,TUBOCURARINE CHLORIDE,0,0
VERTAVIS,MEDPOINTE PHARM HLC,Approved,VERATRUM VIRIDE ROOT,0,0
KAPPADIONE,LILLY,Approved,MENADIOL SODIUM DIPHOSPHATE,0,0
SULTRIN,ORTHO MCNEIL PHARM,Approved,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),0,0
FURACIN,SHIRE,Approved,NITROFURAZONE,0,0
BENADRYL,MCNEIL CONS,Approved,DIPHENHYDRAMINE HYDROCHLORIDE,0,0
TRIDIONE,ABBVIE,Approved,TRIMETHADIONE,0,0
FOLVITE,WYETH PHARMS INC,Approved,FOLIC ACID,0,0
PBZ,NOVARTIS,Approved,TRIPELENNAMINE HYDROCHLORIDE,0,0
PBZ,NOVARTIS,Approved,TRIPELENNAMINE CITRATE,0,0
D.H.E. 45,VALEANT,Approved,DIHYDROERGOTAMINE MESYLATE,0,0
AMINOSOL 5%,ABBVIE,Approved,PROTEIN HYDROLYSATE,0,0
BAL,AKORN,Approved,DIMERCAPROL,0,0
SODIUM SULAMYD,SCHERING,Approved,SULFACETAMIDE SODIUM,0,0
SOTRADECOL,ELKINS SINN,Approved,SODIUM TETRADECYL SULFATE,0,0
ARALEN,SANOFI AVENTIS US,Approved,CHLOROQUINE PHOSPHATE,0,0
ARALEN HYDROCHLORIDE,SANOFI AVENTIS US,Approved,CHLOROQUINE HYDROCHLORIDE,0,0
MESANTOIN,NOVARTIS,Approved,MEPHENYTOIN,0,0
FOLVRON,LEDERLE,Approved,FERROUS SULFATE; FOLIC ACID,0,0
METHERGINE,EDISON THERAPS LLC,Approved,METHYLERGONOVINE MALEATE,0,0
DIASONE SODIUM,ABBVIE,Approved,SULFOXONE SODIUM,0,0
BEROCCA PN,ROCHE,Approved,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E,0,0
TUBOCURARINE CHLORIDE,HOSPIRA,Approved,TUBOCURARINE CHLORIDE,0,0
DIENESTROL,ORTHO MCNEIL PHARM,Approved,DIENESTROL,0,0
DOLOPHINE HYDROCHLORIDE,ROXANE,Approved,METHADONE HYDROCHLORIDE,0,0
FOLIC ACID,LILLY,Approved,FOLIC ACID,0,0
HYPROTIGEN 5%,B BRAUN,Approved,PROTEIN HYDROLYSATE,0,0
PROPYLTHIOURACIL,DAVA PHARMS INC,Approved,PROPYLTHIOURACIL,0,0
HEAVY SOLUTION NUPERCAINE,NOVARTIS,Approved,DIBUCAINE HYDROCHLORIDE,0,0
PROPYLTHIOURACIL,LILLY,Approved,PROPYLTHIOURACIL,0,0
GAMOPHEN,ARBROOK,Approved,HEXACHLOROPHENE,0,0
KWELL,REED AND CARNRICK,Approved,LINDANE,0,0
SULFONAMIDES DUPLEX,LILLY,Approved,SULFADIAZINE; SULFAMERAZINE,0,0
NEOTRIZINE,LILLY,Approved,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),0,0
TUBOCURARINE CHLORIDE,LILLY,Approved,TUBOCURARINE CHLORIDE,0,0
ISUPREL,SANOFI AVENTIS US,Approved,ISOPROTERENOL HYDROCHLORIDE,0,0
SYNOPHYLATE,CENT PHARMS,Approved,THEOPHYLLINE SODIUM GLYCINATE,0,0
WYDASE,BAXTER HLTHCARE,Approved,HYALURONIDASE,0,0
METHADONE HYDROCHLORIDE,MALLINCKRODT,Approved,METHADONE HYDROCHLORIDE,0,0
PRISCOLINE,NOVARTIS,Approved,TOLAZOLINE HYDROCHLORIDE,0,0
DECAPRYN,SANOFI AVENTIS US,Approved,DOXYLAMINE SUCCINATE,0,0
CAMOQUIN HYDROCHLORIDE,PARKE DAVIS,Approved,AMODIAQUINE HYDROCHLORIDE,0,0
HETRAZAN,LEDERLE,Approved,DIETHYLCARBAMAZINE CITRATE,0,0
PROTAMINE SULFATE,LILLY,Approved,PROTAMINE SULFATE,0,0
CALCIUM GLUCEPTATE,LILLY,Approved,CALCIUM GLUCEPTATE,0,0
XYLOCAINE,FRESENIUS KABI USA,Approved,LIDOCAINE HYDROCHLORIDE,0,0
